Period,MaxTemperature,MinTemperature,Humidity,Pressure,Precipitation,WindSpeed
Week 36 (1950-09-03 - 1950-09-09),30.5,20.9,77.3,1003.6,0.5,9.3
Week 37 (1950-09-10 - 1950-09-16),31,21.3,76.1,1002.6,2.6,9.5
Week 38 (1950-09-17 - 1950-09-23),29.5,19.1,72.1,1005.1,0.2,11.2
Week 39 (1950-09-24 - 1950-09-30),30.6,15.6,49.3,1007.7,0,10.4
Week 40 (1950-10-01 - 1950-10-07),30.7,14.1,41.1,1007.2,0,10.9
Week 41 (1950-10-08 - 1950-10-14),29.4,14.9,51,1009.4,0.5,12
Week 42 (1950-10-15 - 1950-10-21),27.3,15,56.9,1010.4,1.1,13.5
Week 43 (1950-10-22 - 1950-10-28),27.6,15.7,57.7,1013,0.1,9.4
Week 44 (1950-10-29 - 1950-11-04),27,12.8,45.1,1013.1,0,12.1
Week 45 (1950-11-05 - 1950-11-11),25.5,8.5,28.4,1013.8,0,11.9
Week 46 (1950-11-12 - 1950-11-18),22.2,10.3,60.1,1014.6,18,13
Week 47 (1950-11-19 - 1950-11-25),22.4,8.1,51,1013.3,7.5,11.4
Week 48 (1950-11-26 - 1950-12-02),20,6.9,44.6,1016.5,8.5,13.7
Week 49 (1950-12-03 - 1950-12-09),20,5.4,42.4,1016,4,9.1
Week 50 (1950-12-10 - 1950-12-16),19.2,5.3,41.1,1019.7,2.7,11.5
Week 51 (1950-12-17 - 1950-12-23),15.7,3.5,64.3,1017.3,7.9,9.7
Week 52 (1950-12-24 - 1950-12-30),16,1.5,43,1019.6,2.4,11.1
Week 53 (1950-12-31 - 1951-01-06),17,2.3,41.7,1018.1,15.5,8.2
Week 54 (1951-01-07 - 1951-01-13),14.4,4.3,70.4,1018.4,29.4,10.1
Week 55 (1951-01-14 - 1951-01-20),13.5,1.9,71.7,1018.9,5.5,9
Week 56 (1951-01-21 - 1951-01-27),15.5,0.1,52.6,1017.6,15.2,11.1
Week 57 (1951-01-28 - 1951-02-03),12.6,3.4,72.7,1015.6,61.7,10.5
Week 58 (1951-02-04 - 1951-02-10),14,3.3,69.1,1017,24.3,12.6
Week 59 (1951-02-11 - 1951-02-17),16.6,1,56.3,1016.1,1,12.2
Week 60 (1951-02-18 - 1951-02-24),20.5,5,59,1014.2,10.8,10.2
Week 61 (1951-02-25 - 1951-03-03),22.6,6.1,42.4,1014.5,0,12.8
Week 62 (1951-03-04 - 1951-03-10),21.4,10.2,57.9,1014.6,60.2,14.1
Week 63 (1951-03-11 - 1951-03-17),23,7.3,58.3,1014.5,1.7,11.3
Week 64 (1951-03-18 - 1951-03-24),21.8,7.8,56.1,1009,13,9.9
Week 65 (1951-03-25 - 1951-03-31),20.6,9.7,74.1,1010.2,45.1,10.7
Week 66 (1951-04-01 - 1951-04-07),19.8,10.7,76.7,1010.5,59.6,9.4
Week 67 (1951-04-08 - 1951-04-14),24.5,10.4,66.9,1010.8,7.8,9.8
Week 68 (1951-04-15 - 1951-04-21),25.2,11.6,56.4,1006.7,0.8,14.4
Week 69 (1951-04-22 - 1951-04-28),28.5,12.3,51,1006.2,1.4,9.4
Week 70 (1951-04-29 - 1951-05-05),28,14.4,50.7,1009.2,21.5,13.6
Week 71 (1951-05-06 - 1951-05-12),29.5,16.6,49.7,1006.5,18,17.3
Week 72 (1951-05-13 - 1951-05-19),32.7,16.7,40.7,1005.9,11.9,12.9
Week 73 (1951-05-20 - 1951-05-26),39.5,20.8,26.1,1002.4,1.5,9.9
Week 74 (1951-05-27 - 1951-06-02),36.6,22.5,31.7,1000.8,4,13.7
Week 75 (1951-06-03 - 1951-06-09),40.7,21.5,19.1,997.4,0.1,18.1
Week 76 (1951-06-10 - 1951-06-16),40,25.1,22.6,995.6,2.1,24.1
Week 77 (1951-06-17 - 1951-06-23),38.7,22.3,16.3,997.4,0,13
Week 78 (1951-06-24 - 1951-06-30),42.5,25.6,18.9,995.7,0,10.7
Week 79 (1951-07-01 - 1951-07-07),35.9,23.8,48.9,997.9,22.5,19.4
Week 80 (1951-07-08 - 1951-07-14),39.3,25.6,34.3,997.1,1.5,17.6
Week 81 (1951-07-15 - 1951-07-21),41.1,26.5,24.7,997.4,0.8,22
Week 82 (1951-07-22 - 1951-07-28),35.7,26.2,51,1000,14.2,15.3
Week 83 (1951-07-29 - 1951-08-04),31.7,24.6,74.9,998.1,59.4,9.3
Week 84 (1951-08-05 - 1951-08-11),30.6,24.5,80.7,1000.6,21.8,15
Week 85 (1951-08-12 - 1951-08-18),30.3,23.8,83.1,1001.2,49.3,9.5
Week 86 (1951-08-19 - 1951-08-25),31.6,23.4,78.4,999.4,27.3,10.2
Week 87 (1951-08-26 - 1951-09-01),31.6,20.3,69.4,1004.2,8.6,10.7
Week 88 (1951-09-02 - 1951-09-08),33.6,21.3,54.7,1004.1,0.6,13
Week 89 (1951-09-09 - 1951-09-15),34.5,22.6,53.6,1004.5,0.5,11.5
Week 90 (1951-09-16 - 1951-09-22),35.3,23.3,46.4,1005.5,0.3,9.9
Week 91 (1951-09-23 - 1951-09-29),35.2,22.3,41,1007.5,0.7,11.7
Week 92 (1951-09-30 - 1951-10-06),35.3,18.8,31.1,1004.3,0.1,10.7
Week 93 (1951-10-07 - 1951-10-13),35.6,18.9,24.3,1007.6,0,12.4
Week 94 (1951-10-14 - 1951-10-20),32.9,18.2,26.4,1006,1.2,10.8
Week 95 (1951-10-21 - 1951-10-27),33.5,16.3,22,1009.6,0,12.1
Week 96 (1951-10-28 - 1951-11-03),29.8,14.9,30.1,1013,0,12
Week 97 (1951-11-04 - 1951-11-10),29.8,13.4,21.1,1013.3,0,11.4
Week 98 (1951-11-11 - 1951-11-17),27.7,11.8,24,1013.8,0.7,19.2
Week 99 (1951-11-18 - 1951-11-24),25.2,9.6,24,1012.7,4.7,12.9
Week 100 (1951-11-25 - 1951-12-01),19.1,7.6,69.9,1016.7,34,7.5
Week 101 (1951-12-02 - 1951-12-08),21,5.1,56.3,1018.7,0,7.7
Week 102 (1951-12-09 - 1951-12-15),20.5,5,52,1015.4,0,8.9
Week 103 (1951-12-16 - 1951-12-22),20.1,3.8,45.4,1018.4,0,7.9
Week 104 (1951-12-23 - 1951-12-29),20,8,51.1,1017.2,9.3,9.5
Week 105 (1951-12-30 - 1952-01-05),13.9,4.3,65.1,1017,20.4,11.1
Week 106 (1952-01-06 - 1952-01-12),14.1,3.8,64.4,1017.6,15.5,11.7
Week 107 (1952-01-13 - 1952-01-19),16.1,4,65.1,1019.4,14,10.5
Week 108 (1952-01-20 - 1952-01-26),19.5,5.2,55.9,1019.3,0.9,10
Week 109 (1952-01-27 - 1952-02-02),18.8,6.4,52.9,1018.8,2,10.5
Week 110 (1952-02-03 - 1952-02-09),16.3,6.1,76,1017,69,10.3
Week 111 (1952-02-10 - 1952-02-16),17.2,6.2,68.3,1013.1,23.3,14.8
Week 112 (1952-02-17 - 1952-02-23),17.1,3.8,67.4,1014.8,2,12.7
Week 113 (1952-02-24 - 1952-03-01),19.1,7.3,64.3,1013.6,35.8,11.5
Week 114 (1952-03-02 - 1952-03-08),18.2,8.3,69.6,1010.4,37,15.3
Week 115 (1952-03-09 - 1952-03-15),19.3,8,67.1,1013,43.1,12.4
Week 116 (1952-03-16 - 1952-03-22),20.1,7.3,63.4,1011.3,12.5,19.9
Week 117 (1952-03-23 - 1952-03-29),22.9,9.5,64.7,1011.3,29.2,10.1
Week 118 (1952-03-30 - 1952-04-05),24.6,10.1,54.1,1011.5,3.5,10.1
Week 119 (1952-04-06 - 1952-04-12),29.5,12.1,42,1009.1,0.1,15.4
Week 120 (1952-04-13 - 1952-04-19),34.2,14.5,34.6,1009.2,1.5,19.2
Week 121 (1952-04-20 - 1952-04-26),35.1,16.9,26.6,1003.9,0.5,12.4
Week 122 (1952-04-27 - 1952-05-03),33.9,19.6,28.4,1005.6,2,14.1
Week 123 (1952-05-04 - 1952-05-10),33.5,19.7,32.7,1005.4,13.7,14.5
Week 124 (1952-05-11 - 1952-05-17),33.8,18.9,36.1,1004.2,0.6,12.7
Week 125 (1952-05-18 - 1952-05-24),38.4,21,21.9,1000.9,0.3,17.6
Week 126 (1952-05-25 - 1952-05-31),41,23.2,17.1,997.6,0.3,13.4
Week 127 (1952-06-01 - 1952-06-07),36.2,22,32,1000.1,13.5,16.1
Week 128 (1952-06-08 - 1952-06-14),41.3,20.7,18.1,997.6,0,12
Week 129 (1952-06-15 - 1952-06-21),43.4,28.1,22,995.6,0.1,17.4
Week 130 (1952-06-22 - 1952-06-28),37.2,27.9,47.1,997.9,30.8,13
Week 131 (1952-06-29 - 1952-07-05),35.7,24.9,53.9,997.9,17.9,13.8
Week 132 (1952-07-06 - 1952-07-12),33.1,25.1,68.6,999.8,37.7,13.4
Week 133 (1952-07-13 - 1952-07-19),32.6,25.2,71.1,1000.1,45,10
Week 134 (1952-07-20 - 1952-07-26),30.6,24.1,79.6,999.2,55.5,10.8
Week 135 (1952-07-27 - 1952-08-02),31.2,23.6,80.9,996.7,23.8,15.8
Week 136 (1952-08-03 - 1952-08-09),29.1,23.4,83.9,999.7,89,18.3
Week 137 (1952-08-10 - 1952-08-16),29.6,23.3,84.6,1000,229.8,11.5
Week 138 (1952-08-17 - 1952-08-23),30.2,23,81.9,1000.1,22.2,8.1
Week 139 (1952-08-24 - 1952-08-30),31.9,22.6,74.9,1000.8,14.6,8.8
Week 140 (1952-08-31 - 1952-09-06),33,22.2,64.6,1002.1,6.7,7.9
Week 141 (1952-09-07 - 1952-09-13),34.7,19.5,44.9,1002.8,0.3,9.5
Week 142 (1952-09-14 - 1952-09-20),35.6,21.1,40.9,1003.5,0.2,9.7
Week 143 (1952-09-21 - 1952-09-27),33.9,19.8,43.6,1007.9,9.7,10.1
Week 144 (1952-09-28 - 1952-10-04),34.2,18.1,31.7,1009.6,1.1,10.9
Week 145 (1952-10-05 - 1952-10-11),33.8,16.7,27.3,1006,0,11.4
Week 146 (1952-10-12 - 1952-10-18),32.3,14.7,19.7,1010.4,0.4,13.1
Week 147 (1952-10-19 - 1952-10-25),30.2,13.3,19.7,1009.3,0,10.8
Week 148 (1952-10-26 - 1952-11-01),30.9,11.3,18.1,1012.5,0,11.1
Week 149 (1952-11-02 - 1952-11-08),28.6,10.3,19.9,1012.9,0,11
Week 150 (1952-11-09 - 1952-11-15),25.2,10.6,26,1014.6,3.5,15.5
Week 151 (1952-11-16 - 1952-11-22),25.7,7.8,22.9,1015.1,0,9.7
Week 152 (1952-11-23 - 1952-11-29),22.2,5.8,21.4,1013.7,0,10.2
Week 153 (1952-11-30 - 1952-12-06),21.9,6.9,29,1018,0,11.8
Week 154 (1952-12-07 - 1952-12-13),21.5,5.2,25.9,1018.9,0,10.3
Week 155 (1952-12-14 - 1952-12-20),18,5,43.7,1018.2,6.9,11.7
Week 156 (1952-12-21 - 1952-12-27),16,1.6,45.7,1021.3,0.1,9.4
Week 157 (1952-12-28 - 1953-01-03),15.9,3,40,1020.5,8.1,9.8
Week 158 (1953-01-04 - 1953-01-10),18.8,0.5,25,1019.4,0,9.5
Week 159 (1953-01-11 - 1953-01-17),15.2,4.1,51.4,1015.3,11.2,11.3
Week 160 (1953-01-18 - 1953-01-24),12.8,-0.9,53.7,1019.3,6.3,8.1
Week 161 (1953-01-25 - 1953-01-31),16.6,1.4,48.3,1015,4.3,8.7
Week 162 (1953-02-01 - 1953-02-07),17.4,2.3,42.3,1017.3,1.5,9.1
Week 163 (1953-02-08 - 1953-02-14),18,6.7,56,1018.4,43.7,11.4
Week 164 (1953-02-15 - 1953-02-21),20.2,5.4,54.4,1016.6,8.4,9.8
Week 165 (1953-02-22 - 1953-02-28),25.4,9.9,41.4,1014,15.3,10.8
Week 166 (1953-03-01 - 1953-03-07),29.1,12.3,29.7,1011,6.3,14.7
Week 167 (1953-03-08 - 1953-03-14),24.9,11.9,42.1,1009.6,40.3,14.6
Week 168 (1953-03-15 - 1953-03-21),25.7,11.6,40.3,1010.7,29.8,12.7
Week 169 (1953-03-22 - 1953-03-28),25.3,13.2,47,1007.1,95.9,15
Week 170 (1953-03-29 - 1953-04-04),26.9,11.4,35.9,1014,0.4,14.1
Week 171 (1953-04-05 - 1953-04-11),32.5,16.9,30.4,1006.3,0.9,12
Week 172 (1953-04-12 - 1953-04-18),27.3,14.5,47.1,1007.3,49.2,13.6
Week 173 (1953-04-19 - 1953-04-25),29.4,13.6,43.6,1008.6,36.5,10.1
Week 174 (1953-04-26 - 1953-05-02),37.5,20,21,1003.7,0.9,14.7
Week 175 (1953-05-03 - 1953-05-09),39.4,22.5,20.3,1001.7,0.3,11.1
Week 176 (1953-05-10 - 1953-05-16),40,23.3,18,999.8,0,15.4
Week 177 (1953-05-17 - 1953-05-23),36,21.6,23.6,1004,5.3,14.3
Week 178 (1953-05-24 - 1953-05-30),37.7,22.5,21.4,1002.3,1.3,12.8
Week 179 (1953-05-31 - 1953-06-06),40.3,24.5,16.7,997.6,0,13.1
Week 180 (1953-06-07 - 1953-06-13),43.6,26.9,14.6,995.5,1.9,15.6
Week 181 (1953-06-14 - 1953-06-20),39.3,28.3,38.7,998.8,7.7,16.3
Week 182 (1953-06-21 - 1953-06-27),36.1,26.6,52,997.2,33.5,15
Week 183 (1953-06-28 - 1953-07-04),38.2,27.7,52,992.8,8,19.4
Week 184 (1953-07-05 - 1953-07-11),32.3,25.7,74.4,997.9,104.3,14
Week 185 (1953-07-12 - 1953-07-18),31,23.7,76,1001.1,53.1,13.7
Week 186 (1953-07-19 - 1953-07-25),30.5,23.7,81.3,1000.4,97.3,13.4
Week 187 (1953-07-26 - 1953-08-01),29.8,24.4,81.6,999.2,194.7,13
Week 188 (1953-08-02 - 1953-08-08),29.1,23.5,85.1,1001.4,58.2,10.7
Week 189 (1953-08-09 - 1953-08-15),29.7,23.5,86.1,999.5,59.7,11.1
Week 190 (1953-08-16 - 1953-08-22),30.6,23.3,84.3,998.6,27.3,9.3
Week 191 (1953-08-23 - 1953-08-29),28.7,22.3,85.4,1003.7,38.9,10.4
Week 192 (1953-08-30 - 1953-09-05),29,21.7,85.4,1006.4,44.9,8.8
Week 193 (1953-09-06 - 1953-09-12),29.5,21.8,83.7,1004.2,4.3,8.6
Week 194 (1953-09-13 - 1953-09-19),27,19.5,83.3,1006.7,26.6,8.6
Week 195 (1953-09-20 - 1953-09-26),29,19.3,81.3,1006.5,1.2,9.7
Week 196 (1953-09-27 - 1953-10-03),28,17.9,75.9,1008.1,37.1,11.4
Week 197 (1953-10-04 - 1953-10-10),26.9,13.3,67.7,1011.6,0.1,9.6
Week 198 (1953-10-11 - 1953-10-17),24.2,14.5,75.9,1015.2,60.1,15.6
Week 199 (1953-10-18 - 1953-10-24),25.8,11.7,69,1013.3,0,8.6
Week 200 (1953-10-25 - 1953-10-31),23.5,12,71.7,1013.5,54.7,9.4
Week 201 (1953-11-01 - 1953-11-07),21.3,10.1,72.1,1013.1,51.2,11
Week 202 (1953-11-08 - 1953-11-14),19.1,7.7,69.3,1018.4,1.4,12.2
Week 203 (1953-11-15 - 1953-11-21),19.6,4.9,66.7,1017.3,0,9.6
Week 204 (1953-11-22 - 1953-11-28),20.1,6.5,73,1019.1,4.3,8.7
Week 205 (1953-11-29 - 1953-12-05),20.9,7.7,70.1,1016.4,3.4,8.9
Week 206 (1953-12-06 - 1953-12-12),19.8,6.8,66,1019.3,0.3,10
Week 207 (1953-12-13 - 1953-12-19),19.5,6.7,67,1017.3,0.7,10.5
Week 208 (1953-12-20 - 1953-12-26),17.7,8.2,71,1017.7,50.7,10.7
Week 209 (1953-12-27 - 1954-01-02),13,4.3,79.1,1018.3,23.9,8.1
Week 210 (1954-01-03 - 1954-01-09),12.9,5,77.3,1017.3,73.7,13.2
Week 211 (1954-01-10 - 1954-01-16),13.6,0.4,68.7,1017.6,0.2,8.8
Week 212 (1954-01-17 - 1954-01-23),12.2,-0.4,71.1,1014.2,28,10
Week 213 (1954-01-24 - 1954-01-30),14.9,0.6,63.3,1016.6,15.3,9.4
Week 214 (1954-01-31 - 1954-02-06),14.5,5.1,76.9,1018.2,45.1,10
Week 215 (1954-02-07 - 1954-02-13),16,6.4,76,1016.7,22.8,9.5
Week 216 (1954-02-14 - 1954-02-20),15.6,8,79.7,1014.2,47.8,13
Week 217 (1954-02-21 - 1954-02-27),16,5.8,75,1013.9,43.1,10.2
Week 218 (1954-02-28 - 1954-03-06),16.9,4.8,63.9,1016.4,17.3,17.5
Week 219 (1954-03-07 - 1954-03-13),18.8,7.7,70,1014.7,17.3,14.5
Week 220 (1954-03-14 - 1954-03-20),23.6,7.9,62.1,1016.3,0,11.3
Week 221 (1954-03-21 - 1954-03-27),24.1,12,66,1013.6,3.2,19.1
Week 222 (1954-03-28 - 1954-04-03),24.6,11.6,64.7,1008.4,63.9,21.3
Week 223 (1954-04-04 - 1954-04-10),27.8,13.4,58.7,1007.3,1,11.8
Week 224 (1954-04-11 - 1954-04-17),28.2,14.5,49.9,1008.1,1.1,18.2
Week 225 (1954-04-18 - 1954-04-24),28.7,17.1,53.3,1010.9,14.9,15.4
Week 226 (1954-04-25 - 1954-05-01),32.3,15.2,51.9,1005.9,1,12.4
Week 227 (1954-05-02 - 1954-05-08),33,18.7,45.6,1003.9,5.7,17.2
Week 228 (1954-05-09 - 1954-05-15),30,16.9,54.3,1004.1,16.7,15.2
Week 229 (1954-05-16 - 1954-05-22),37,19.8,32.1,1000.9,0.5,16.8
Week 230 (1954-05-23 - 1954-05-29),39.4,21.5,21.3,998.7,0,15.8
Week 231 (1954-05-30 - 1954-06-05),39.9,24.5,28.6,994.7,3.4,13.8
Week 232 (1954-06-06 - 1954-06-12),39.1,22.9,28.6,995,0,14.3
Week 233 (1954-06-13 - 1954-06-19),38.8,24,23,997.3,0.2,14.1
Week 234 (1954-06-20 - 1954-06-26),40.9,25.9,20.6,997.1,0.3,15.5
Week 235 (1954-06-27 - 1954-07-03),40.6,25.9,22.4,995.9,0.7,14.3
Week 236 (1954-07-04 - 1954-07-10),38.6,26.5,38.4,996.7,44.4,14.8
Week 237 (1954-07-11 - 1954-07-17),32.1,23.5,73.4,997.9,34.7,11.6
Week 238 (1954-07-18 - 1954-07-24),32.4,24.1,74.3,998.2,22.9,8.3
Week 239 (1954-07-25 - 1954-07-31),32.8,24.7,72.7,997.4,24.2,11.1
Week 240 (1954-08-01 - 1954-08-07),32,24,76.1,997.4,53.2,9.7
Week 241 (1954-08-08 - 1954-08-14),31.5,24,78.6,996.4,29.6,9.7
Week 242 (1954-08-15 - 1954-08-21),32.4,24,74.3,998.4,20.8,9.4
Week 243 (1954-08-22 - 1954-08-28),33.1,23,63.7,1000.8,6.5,8.6
Week 244 (1954-08-29 - 1954-09-04),34.6,22.7,53.1,1002.4,0.4,10.8
Week 245 (1954-09-05 - 1954-09-11),33.4,25,62.3,1002.8,15.1,10.6
Week 246 (1954-09-12 - 1954-09-18),32.9,21.2,55.6,1001.5,1.5,12.7
Week 247 (1954-09-19 - 1954-09-25),30.5,21.1,64.3,1003.9,8.6,12.7
Week 248 (1954-09-26 - 1954-10-02),28.9,17.3,72.4,1005.3,20.6,14.1
Week 249 (1954-10-03 - 1954-10-09),26.1,13.4,65.6,1010.1,7.7,13.4
Week 250 (1954-10-10 - 1954-10-16),26.5,13.5,55.6,1014.1,0.4,13.5
Week 251 (1954-10-17 - 1954-10-23),26.8,11.5,43.6,1014.6,0.1,12.4
Week 252 (1954-10-24 - 1954-10-30),25.7,11.1,44.7,1012.9,0.2,13.4
Week 253 (1954-10-31 - 1954-11-06),25.1,9.2,32.9,1016,0,10.4
Week 254 (1954-11-07 - 1954-11-13),23.3,8.6,33.1,1017.3,0.7,14
Week 255 (1954-11-14 - 1954-11-20),24,7.1,30.4,1018.3,0.2,13
Week 256 (1954-11-21 - 1954-11-27),21.5,9.2,43,1016.9,2.1,11.6
Week 257 (1954-11-28 - 1954-12-04),20.1,9.3,48.1,1017.5,1.9,9.6
Week 258 (1954-12-05 - 1954-12-11),20.1,4.7,40.6,1015.9,0,10.9
Week 259 (1954-12-12 - 1954-12-18),20.1,3.6,31.4,1017.4,0,10.5
Week 260 (1954-12-19 - 1954-12-25),18.4,2.1,30.1,1018.8,0,10.4
Week 261 (1954-12-26 - 1955-01-01),14.8,-1,28.7,1018.1,0,9.5
Week 262 (1955-01-02 - 1955-01-08),14.3,0.4,46.9,1023.3,0.7,11.4
Week 263 (1955-01-09 - 1955-01-15),17.6,2.7,37.4,1022.8,0.7,9.4
Week 264 (1955-01-16 - 1955-01-22),18.4,3.5,32.1,1019.2,1.1,9.6
Week 265 (1955-01-23 - 1955-01-29),17.5,4.1,49.1,1016.7,0.2,11.2
Week 266 (1955-01-30 - 1955-02-05),18.1,4.9,49,1013.5,0,12.2
Week 267 (1955-02-06 - 1955-02-12),19.1,2.1,27.9,1013.2,0,11.5
Week 268 (1955-02-13 - 1955-02-19),24,5.2,22.1,1014.9,0,12.8
Week 269 (1955-02-20 - 1955-02-26),25.8,8.4,26.7,1015.3,0.1,14.5
Week 270 (1955-02-27 - 1955-03-05),21.9,10,51,1011,1.9,11.9
Week 271 (1955-03-06 - 1955-03-12),25.8,13.1,44.1,1015,2.9,16.1
Week 272 (1955-03-13 - 1955-03-19),26.5,12.2,47.1,1013,8.9,17.6
Week 273 (1955-03-20 - 1955-03-26),27.2,13.7,40.9,1008.8,2.2,14.2
Week 274 (1955-03-27 - 1955-04-02),26.7,13,42.9,1006.2,12,17.9
Week 275 (1955-04-03 - 1955-04-09),31.8,11.2,24,1009.4,0,11.7
Week 276 (1955-04-10 - 1955-04-16),24.7,12.6,42.6,1006.5,33.8,25.8
Week 277 (1955-04-17 - 1955-04-23),28.3,11.3,29.6,1012.5,0.3,17.8
Week 278 (1955-04-24 - 1955-04-30),31.9,18.2,31.9,1005.9,0.9,15.2
Week 279 (1955-05-01 - 1955-05-07),32.1,19,32.3,1007,12.1,18.9
Week 280 (1955-05-08 - 1955-05-14),27.7,15.8,55.1,1006.1,20.2,13
Week 281 (1955-05-15 - 1955-05-21),35.1,17.7,30.6,1004.2,1.6,10.9
Week 282 (1955-05-22 - 1955-05-28),33.9,19.8,37,1003.2,14.3,21
Week 283 (1955-05-29 - 1955-06-04),39.5,21.7,23.4,999.3,0.4,18.4
Week 284 (1955-06-05 - 1955-06-11),42.6,24.5,14.9,995.1,0,13.2
Week 285 (1955-06-12 - 1955-06-18),42.5,26.9,17.1,994.2,0.1,12.7
Week 286 (1955-06-19 - 1955-06-25),42.3,24.9,15.6,994.5,0.1,14.7
Week 287 (1955-06-26 - 1955-07-02),39.5,26.5,34.9,994.4,0.1,18.7
Week 288 (1955-07-03 - 1955-07-09),38.1,26.9,48.1,996.5,5.8,20.1
Week 289 (1955-07-10 - 1955-07-16),41.2,26.3,29.7,994.1,0,12.1
Week 290 (1955-07-17 - 1955-07-23),34.2,23.2,58.3,995.9,56.4,14.2
Week 291 (1955-07-24 - 1955-07-30),33.3,25,69.6,997.9,35.1,13.8
Week 292 (1955-07-31 - 1955-08-06),31.4,24.7,76.9,1000.1,40.2,9.7
Week 293 (1955-08-07 - 1955-08-13),28.7,23.2,85.7,1001.2,100.8,11.7
Week 294 (1955-08-14 - 1955-08-20),27.2,22.8,90.6,1001.3,104.1,11.8
Week 295 (1955-08-21 - 1955-08-27),29.8,22.9,84.9,1000.8,14,11.3
Week 296 (1955-08-28 - 1955-09-03),30.1,23.6,84.4,1000.2,29.8,13.4
Week 297 (1955-09-04 - 1955-09-10),29.2,22.4,83.6,1003.5,23.3,12.9
Week 298 (1955-09-11 - 1955-09-17),28.6,21.2,84.7,1004,13.5,13.3
Week 299 (1955-09-18 - 1955-09-24),29,18.8,78.9,1008.6,3,10.3
Week 300 (1955-09-25 - 1955-10-01),29.4,19,77.9,1006.8,8.6,8.3
Week 301 (1955-10-02 - 1955-10-08),28.6,18.1,74.3,1006.7,0.6,9.3
Week 302 (1955-10-09 - 1955-10-15),26.4,14.7,67.7,1011,8.3,14.2
Week 303 (1955-10-16 - 1955-10-22),27.2,12.8,56,1012.6,0,10.8
Week 304 (1955-10-23 - 1955-10-29),26.5,11.9,53.4,1011,0,10.4
Week 305 (1955-10-30 - 1955-11-05),26.4,11.2,48,1012.7,0,9.7
Week 306 (1955-11-06 - 1955-11-12),24.8,8.4,39.7,1010.8,0.1,11.8
Week 307 (1955-11-13 - 1955-11-19),25,7.7,37.7,1013.5,0,12.3
Week 308 (1955-11-20 - 1955-11-26),23.9,6,38.1,1017.4,0,8.3
